type,title,date_added,release_year,rating,listed_in
Movie,**Players**,07/05/2020,2012,",?TV-14","Action & Adventure, International Movies"
Movie,**Pyaar Ka Punchnama 2**,07/05/2020,2015,",?TV-MA","Comedies, Dramas, International Movies"
Movie,**Queen**,07/05/2020,2014C,",?TV-MA","Comedies, Dramas, International Movies"
Movie,**Shaitan**,07/05/2020,2011c,",?TV-MA","Action & Adventure, Dramas, Independent Movies"
Movie,**Special 26**,07/05/2020,2013C,",?TV-PG","Dramas, International Movies, Thrillers"
Movie,**Tanu Weds Manu**,07/05/2020,2011c,",?TV-14","Comedies, Dramas, International Movies"
Movie,**What the Fish**,07/05/2020,2013),",?TV-14","Comedies, International Movies"
Movie,**Desperados**,07/03/2020,2020c,",?TV-MA","Comedies, Romantic Movies"
Movie,**Hunter in the Blue Side of Manchester**,07/03/2020,2020(,",?TV-MA","Dramas, International Movies"
Movie,**I Am Not Your Negro**,07/03/2020,2017),",?PG-13",Documentaries
Movie,**Jo Koy: In His Elements**,06/12/2020,2020(,",?TV-MA",Stand-Up Comedy
Movie,**The Perfect Picture: Ten Years Later**,07/03/2020,2019(,",?TV-MA","Comedies, Dramas, International Movies"
Movie,**Thiago Ventura: POKAS**,07/02/2020,2020S,",?TV-MA",Stand-Up Comedy
Movie,**#AnneFrank - Parallel Stories**,07/01/2020,2019C,",?TV-14","Documentaries, International Movies"
TV Show,**Abby Hatcher**,07/01/2020,2019),",?TV-Y",Kids' TV
Movie,**Adú**,07/01/2020,2020,",?TV-MA","Dramas, International Movies"
Movie,**Ali Baba ve 7 Cüceler**,07/01/2020,2015s,",?TV-MA","Action & Adventure, Comedies, International Movies"
Movie,**David Foster: Off the Record**,07/01/2020,2019s,",?TV-MA","Documentaries, Music & Musicals"
Movie,**Double Jeopardy**,07/01/2020,1999C,",?R",Thrillers
Movie,**Pek Yakında**,07/01/2020,2014,",?TV-MA","Comedies, International Movies"
Movie,**Stardust**,07/01/2020,2007),",?PG-13","Action & Adventure, International Movies, Romantic Movies"
Movie,**The F**k-It List**,07/01/2020,2019s,",?TV-MA",Comedies
Movie,**The Silence of Others**,07/01/2020,2019),",?TV-14","Documentaries, International Movies"
Movie,**Total Recall**,07/01/2020,1990s,",?R","Action & Adventure, Sci-Fi & Fantasy"
Movie,**Under the Riccione Sun**,07/01/2020,2020C,",?TV-MA","Comedies, International Movies, Romantic Movies"
Movie,**Thackeray (Marathi)**,6/28/2020,2019,",?TV-14","Dramas, International Movies"
Movie,**George Lopez: We'll Do It For Half**,6/30/2020,2020s,",?TV-MA",Stand-Up Comedy
Movie,**The Mirror Boy**,6/30/2020,2011S,",?TV-14","Action & Adventure, Dramas, International Movies"
Movie,**#FriendButMarried 2**,6/28/2020,2020,",?TV-G","Dramas, International Movies, Romantic Movies"
Movie,**Skin**,6/28/2020,2019,",?TV-MA","Documentaries, International Movies"
Movie,**Ride Like a Girl**,6/27/2020,2020,",?PG","Children & Family Movies, Dramas, Independent Movies"
Movie,**Eurovision Song Contest: The Story of Fire Saga**,6/26/2020,2020S,",?PG-13","Comedies, Music & Musicals, Romantic Movies"
Movie,**Kasanova**,6/26/2020,2019S,",?TV-14","Comedies, International Movies, Romantic Movies"
Movie,**Ordinary People**,6/26/2020,2016S,",?TV-MA","Dramas, Independent Movies, International Movies"
Movie,**Thackeray (Hindi)**,6/26/2020,2019(,",?TV-14","Dramas, International Movies"
Movie,**Krishna and His Leela**,6/25/2020,2020C,",?TV-MA","International Movies, Romantic Movies"
