id,date,month,day,year,country_name,landslide_type,trigger
1614,04/02/2010,,,,Peru,Landslide,Downpour
1739,04/07/2010,,,21:00:00,United States,Mudslide,Rain
1743,04/12/2010,,,,Dominica,Landslide,Downpour
1744,04/12/2010,,,,Dominica,Landslide,Downpour
1745,04/12/2010,,,,Dominica,Landslide,Downpour
1746,04/12/2010,,,,Dominica,Landslide,Downpour
1747,04/12/2010,,,,Dominica,Landslide,Downpour
1749,4/14/10,,,,Costa Rica,Landslide,Downpour
1751,4/14/10,,,,Colombia,Landslide,Downpour
1754,4/16/10,,,,Dominica,Landslide,Downpour
1760,4/18/10,,,,Jamaica,Landslide,Downpour
1761,4/18/10,,,,Jamaica,Landslide,Downpour
1762,4/18/10,,,,Jamaica,Landslide,Downpour
1763,4/18/10,,,,Jamaica,Landslide,Downpour
1764,4/18/10,,,,Jamaica,Landslide,Downpour
1784,4/25/10,,,Early morning,United States,Landslide,Downpour
1786,4/27/10,,,Early morning,Costa Rica,Landslide,Downpour
1804,05/02/2010,,,,United States,Mudslide,Downpour
1805,05/02/2010,,,,United States,Landslide,Downpour
1806,05/02/2010,,,,United States,Landslide,Downpour
1807,05/02/2010,,,,United States,Landslide,Downpour
1808,05/02/2010,,,,United States,Landslide,Downpour
1809,05/02/2010,,,,United States,Landslide,Downpour
1810,05/02/2010,,,,United States,Landslide,Downpour
1814,05/03/2010,,,,United States,Mudslide,Downpour
1815,05/03/2010,,,,United States,Mudslide,Downpour
1816,05/03/2010,,,,United States,Mudslide,Downpour
1817,05/03/2010,,,Overnight,United States,Mudslide,Downpour
1818,05/03/2010,,,,United States,Mudslide,Downpour
1819,05/03/2010,,,,United States,Mudslide,Downpour
1820,05/03/2010,,,,United States,Mudslide,Downpour
1821,05/03/2010,,,,United States,Mudslide,Downpour
1822,05/03/2010,,,,United States,Mudslide,Downpour
1823,05/03/2010,,,,United States,Mudslide,Downpour
1824,05/03/2010,,,,United States,Rockfall,Downpour
1825,05/03/2010,,,,United States,Mudslide,Downpour
1826,05/03/2010,,,,United States,Mudslide,Downpour
1827,05/03/2010,,,,United States,Mudslide,Downpour
1828,05/03/2010,,,,United States,Mudslide,Downpour
1829,05/03/2010,,,,United States,Mudslide,Downpour
1830,05/03/2010,,,,United States,Complex,Downpour
1831,05/03/2010,,,,United States,Landslide,Downpour
1832,05/03/2010,,,,United States,Landslide,Downpour
1833,05/03/2010,,,,United States,Landslide,Downpour
1834,05/03/2010,,,Morning,Ecuador,Mudslide,Downpour
1836,05/04/2010,,,Early morning,Colombia,Landslide,Downpour
1838,05/05/2010,,,,Mexico,Mudslide,Rain
1850,05/09/2010,,,,United States,Mudslide,Downpour
1855,05/10/2010,,,,United States,Landslide,Downpour
1859,5/14/10,,,5:00:00,United States,Mudslide,Downpour
1869,5/16/10,,,Early morning,United States,Landslide,Downpour
1872,5/17/10,,,Night,United States,Mudslide,Downpour
1886,5/22/10,,,18:00:00,Costa Rica,Landslide,Downpour
1891,5/23/10,,,10:00:00,United States,Mudslide,Downpour
1892,5/23/10,,,,Colombia,Landslide,Downpour
1900,5/24/10,,,,United States,Landslide,Rain
1904,5/26/10,,,,Guatemala,Mudslide,Tropical cyclone
1909,5/27/10,,,,Colombia,Landslide,Downpour
1914,5/29/10,,,,Guatemala,Mudslide,Tropical cyclone
1915,5/29/10,,,,Guatemala,Mudslide,Tropical cyclone
1916,5/29/10,,,,Guatemala,Landslide,Tropical cyclone
1917,5/29/10,,,,Guatemala,Mudslide,Tropical cyclone
1919,5/30/10,,,,Guatemala,Landslide,Tropical cyclone
1920,5/30/10,,,,Guatemala,Mudslide,Tropical cyclone
1921,5/30/10,,,,Guatemala,Landslide,Tropical cyclone
1922,5/29/10,,,Night,Guatemala,Mudslide,Tropical cyclone
1923,5/30/10,,,,Guatemala,Mudslide,Tropical cyclone
1924,5/30/10,,,,Guatemala,Landslide,Tropical cyclone
1925,5/30/10,,,,Guatemala,Landslide,Tropical cyclone
1947,06/05/2010,,,17:00:00,United States,Mudslide,Downpour
1948,06/05/2010,,,,United States,Landslide,Downpour
1955,06/07/2010,,,1:30:00,United States,Mudslide,Downpour
1956,06/07/2010,,,,United States,Landslide,Downpour
1965,6/13/10,,,,United States,Mudslide,Downpour
2007,6/21/10,,,,United States,Landslide,Downpour
2010,6/23/10,,,Morning,United States,Mudslide,Downpour
2011,6/23/10,,,,United States,Landslide,Downpour
2021,6/27/10,,,,Guatemala,Landslide,Tropical cyclone
2027,6/28/10,,,19:00:00,United States,Landslide,Downpour
2028,6/28/10,,,12:00:00,United States,Mudslide,Downpour
2033,07/02/2010,,,,Mexico,Mudslide,Tropical cyclone
2062,07/12/2010,,,5:30:00,Honduras,Mudslide,Downpour
2065,7/13/10,,,,United States,Complex,Downpour
2066,7/13/10,,,,United States,Mudslide,Downpour
2085,7/16/10,,,6:00:00,Canada,Mudslide,Downpour
2086,7/16/10,,,Late evening,United States,Landslide,Downpour
2093,7/18/10,,,,Honduras,Landslide,Downpour
2101,7/20/10,,,,United States,Debris flow,Downpour
2107,7/21/10,,,,Guatemala,Landslide,Downpour
2108,7/21/10,,,8:00:00,United States,Landslide,Downpour
2114,7/22/10,,,Overnight,Mexico,Mudslide,Downpour
2115,7/22/10,,,,Mexico,Rockfall,Downpour
2123,7/23/10,,,14:30:00,United States,Rockfall,Downpour
2124,7/23/10,,,,United States,Landslide,Downpour
2142,7/26/10,,,15:45:00,United States,Mudslide,Downpour
2149,7/27/10,,,Afternoon,United States,Mudslide,Downpour
2150,7/27/10,,,,United States,Landslide,Downpour
2156,7/29/10,,,,Trinidad and Tobago,Landslide,Downpour
2157,7/29/10,,,,Trinidad and Tobago,Landslide,Downpour
2158,7/29/10,,,,Trinidad and Tobago,Landslide,Downpour
2174,7/30/10,,,9:30:00,Costa Rica,Landslide,Rain
2175,7/30/10,,,,Colombia,Mudslide,Downpour
2179,7/31/10,,,18:46:00,United States,Mudslide,Rain
2185,08/01/2010,,,2:30:00,United States,Mudslide,Downpour
2186,08/01/2010,,,19:30:00,United States,Mudslide,Rain
2189,08/02/2010,,,15:30:00,Trinidad and Tobago,Mudslide,Downpour
2191,08/02/2010,,,,Mexico,Mudslide,Construction
2193,08/03/2010,,,,Trinidad and Tobago,Landslide,Downpour
2194,08/03/2010,,,,Colombia,Complex,Downpour
2199,08/05/2010,,,13:45:00,Trinidad and Tobago,Landslide,Downpour
2204,08/06/2010,,,11:00:00,Trinidad and Tobago,Landslide,Downpour
2217,08/07/2010,,,Overnight,Honduras,Mudslide,Downpour
2224,08/09/2010,,,Morning,United States,Mudslide,Downpour
2233,08/11/2010,,,,Jamaica,Complex,Downpour
2265,8/18/10,,,19:30:00,United States,Complex,Downpour
2269,8/19/10,,,13:45:00,United States,Complex,Downpour
2270,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2271,8/19/10,,,15:40:00,United States,Mudslide,Downpour
2272,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2273,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2274,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2275,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2276,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2277,8/19/10,,,Afternoon,United States,Mudslide,Downpour
2278,8/19/10,,,,United States,Landslide,Downpour
2289,8/20/10,,,,Nicaragua,Mudslide,Downpour
2300,8/21/10,,,Morning,Trinidad and Tobago,Landslide,Downpour
2321,8/24/10,,,Morning,Mexico,Mudslide,Tropical cyclone
2322,8/24/10,,,Morning,Mexico,Mudslide,Tropical cyclone
2330,8/25/10,,,,Nicaragua,Landslide,Downpour
2331,8/25/10,,,,Colombia,Landslide,Downpour
2333,8/25/10,,,14:10:00,United States,Mudslide,Downpour
2348,8/28/10,,,,Guatemala,Landslide,Downpour
2349,8/28/10,,,,Guatemala,Landslide,Downpour
2350,8/28/10,,,,Guatemala,Landslide,Downpour
2351,8/28/10,,,,Guatemala,Landslide,Downpour
2352,8/28/10,,,,Guatemala,Landslide,Downpour
2353,8/28/10,,,,Guatemala,Landslide,Downpour
2354,8/28/10,,,,Guatemala,Mudslide,Downpour
2356,8/28/10,,,,Colombia,Landslide,Downpour
2358,8/29/10,,,4:30:00,Honduras,Rockfall,Downpour
2377,09/03/2010,,,18:53:00,United States,Landslide,Downpour
2384,09/04/2010,,,,Guatemala,Landslide,Downpour
2385,09/04/2010,,,,Guatemala,Landslide,Downpour
2386,09/04/2010,,,,Guatemala,Landslide,Downpour
2387,09/04/2010,,,,Guatemala,Landslide,Downpour
2388,09/04/2010,,,,Guatemala,Landslide,Downpour
2408,09/10/2010,,,,Guatemala,Landslide,Downpour
2412,09/11/2010,,,11:45:00,United States,Mudslide,Downpour
2418,9/13/10,,,Night,Jamaica,Landslide,Downpour
2438,9/17/10,,,,Mexico,Landslide,Tropical cyclone
2449,9/19/10,,,Afternoon,Trinidad and Tobago,Landslide,Downpour
2451,9/19/10,,,Night,United States,Mudslide,Downpour
2473,9/20/10,,,,Venezuela,Landslide,Downpour
2474,9/20/10,,,Late night,Mexico,Landslide,Downpour
2487,9/22/10,,,6:00:00,United States,Complex,Downpour
2490,9/23/10,,,23:00:00,Canada,Landslide,Downpour
2491,9/23/10,,,13:00:00,United States,Mudslide,Downpour
2503,9/26/10,,,,El Salvador,Landslide,Tropical cyclone
2507,9/27/10,,,3:00:00,Colombia,Landslide,Downpour
2508,9/27/10,,,,Colombia,Landslide,Downpour
2511,9/28/10,,,,Jamaica,Landslide,Downpour
2514,9/28/10,,,4:00:00,Mexico,Mudslide,Tropical cyclone
2515,9/28/10,,,20:00:00,United States,Complex,Downpour
2516,9/29/10,,,,Costa Rica,Mudslide,Downpour
2517,9/29/10,,,,Jamaica,Landslide,Downpour
2518,9/29/10,,,,Jamaica,Landslide,Tropical cyclone
2519,9/29/10,,,,Jamaica,Landslide,Tropical cyclone
2520,9/29/10,,,,Mexico,Mudslide,Tropical cyclone
2521,9/29/10,,,,Mexico,Complex,Tropical cyclone
2522,9/29/10,,,,United States,Complex,Rain
2523,9/30/10,,,Early morning,Jamaica,Mudslide,Tropical cyclone
2524,9/30/10,,,Morning,Mexico,Mudslide,Tropical cyclone
2525,9/30/10,,,,United States,Mudslide,Tropical cyclone
2526,10/01/2010,,,,Costa Rica,Landslide,Downpour
2527,10/01/2010,,,,Costa Rica,Landslide,Downpour
2528,10/01/2010,,,,Haiti,Mudslide,Downpour
2529,10/01/2010,,,9:30:00,United States,Mudslide,Downpour
2530,10/01/2010,,,Afternoon,United States,Landslide,Downpour
2533,10/03/2010,,,13:00,Honduras,Mudslide,Rain
2543,10/04/2010,,,,Saint Vincent and the Grenadines,Landslide,Downpour
2547,10/05/2010,,,,Dominica,Landslide,Rain
2550,10/06/2010,,,,Puerto Rico,Complex,Tropical cyclone
2551,10/06/2010,,,,U.S. Virgin Islands,Landslide,Tropical cyclone
2558,10/07/2010,,,0:15:00,Colombia,Mudslide,Downpour
2598,10/15/10,,,,Costa Rica,Rockfall,Downpour
2604,10/17/10,,,,Haiti,Complex,Downpour
2605,10/17/10,,,,Haiti,Mudslide,Downpour
2611,10/18/10,,,,Cuba,Complex,Tropical cyclone
2642,10/19/10,,,,United States,Mudslide,Downpour
2652,10/25/10,,,,Honduras,Landslide,Tropical cyclone
2656,10/30/10,,,,Jamaica,Landslide,Unknown
2657,10/30/10,,,,Saint Vincent and the Grenadines,Landslide,Tropical cyclone
2658,10/30/10,,,,Saint Lucia,Landslide,Tropical cyclone
